ref_ceh;fecha;altura;caudal
2401;01/10/1969;0.59;2.67
2401;02/10/1969;0.53;2.16
2401;03/10/1969;0.56;2.41
2401;04/10/1969;0.6;2.75
2401;05/10/1969;0.61;2.87
2401;06/10/1969;0.55;2.33
2401;07/10/1969;0.53;2.16
2401;08/10/1969;0.6;2.75
2401;09/10/1969;0.62;2.98
2401;10/10/1969;0.62;2.98
2401;11/10/1969;0.64;3.21
2401;12/10/1969;0.64;3.21
2401;13/10/1969;0.67;3.56
2401;14/10/1969;0.67;3.56
2401;15/10/1969;0.69;3.79
2401;16/10/1969;0.7;3.9
2401;17/10/1969;0.7;3.9
2401;18/10/1969;0.69;3.79
2401;19/10/1969;0.64;3.21
2401;20/10/1969;0.51;1.99
2401;21/10/1969;0.56;2.41
2401;22/10/1969;0.57;2.5
2401;23/10/1969;0.57;2.5
2401;24/10/1969;0.57;2.5
2401;25/10/1969;0.57;2.5
2401;26/10/1969;0.53;2.16
2401;27/10/1969;0.57;2.5
2401;28/10/1969;0.58;2.58
2401;29/10/1969;0.59;2.67
2401;30/10/1969;0.58;2.58
2401;31/10/1969;0.59;2.67
2401;01/11/1969;0.56;2.41
2401;02/11/1969;0.59;2.67
2401;03/11/1969;0.63;3.1
2401;04/11/1969;0.61;2.87
2401;05/11/1969;0.61;2.87
2401;06/11/1969;0.6;2.75
2401;07/11/1969;0.62;2.98
2401;08/11/1969;0.68;3.67
2401;09/11/1969;0.65;3.33
2401;10/11/1969;0.66;3.44
2401;11/11/1969;0.64;3.21
2401;12/11/1969;0.67;3.56
2401;13/11/1969;0.62;2.98
2401;14/11/1969;0.52;2.07
2401;15/11/1969;0.51;1.99
2401;16/11/1969;0.28;0.72
2401;17/11/1969;0.24;0.56
2401;18/11/1969;0.08;0.14
2401;19/11/1969;0.07;0.13
2401;20/11/1969;0.1;0.18
2401;21/11/1969;0.5;1.9
2401;22/11/1969;0.55;2.33
2401;23/11/1969;0.56;2.41
2401;24/11/1969;0.61;2.87
2401;25/11/1969;0.64;3.21
2401;26/11/1969;0.61;2.87
2401;27/11/1969;0.62;2.98
2401;28/11/1969;0.6;2.75
2401;29/11/1969;0.62;2.98
2401;30/11/1969;0.6;2.75
2401;01/12/1969;0.58;2.58
2401;02/12/1969;0.58;2.58
2401;03/12/1969;0.58;2.58
2401;04/12/1969;0.43;1.45
2401;05/12/1969;0.43;1.45
2401;06/12/1969;0.59;2.67
2401;07/12/1969;0.62;2.98
2401;08/12/1969;0.63;3.1
2401;09/12/1969;0.68;3.67
2401;10/12/1969;0.65;3.33
2401;11/12/1969;0.64;3.21
2401;12/12/1969;0.67;3.56
2401;13/12/1969;0.62;2.98
2401;14/12/1969;0.63;3.1
2401;15/12/1969;0.59;2.67
2401;16/12/1969;0.61;2.87
2401;17/12/1969;0.64;3.21
2401;18/12/1969;0.66;3.44
2401;19/12/1969;0.62;2.98
2401;20/12/1969;0.68;3.67
2401;21/12/1969;0.68;3.67
2401;22/12/1969;0.63;3.1
2401;23/12/1969;0.66;3.44
2401;24/12/1969;0.65;3.33
2401;25/12/1969;0.64;3.21
2401;26/12/1969;0.66;3.44
2401;27/12/1969;0.66;3.44
2401;28/12/1969;0.63;3.1
2401;29/12/1969;0.6;2.75
2401;30/12/1969;0.64;3.21
2401;31/12/1969;0.64;3.21
2401;01/01/1970;0.65;3.33
2401;02/01/1970;0.66;3.44
2401;03/01/1970;0.67;3.56
2401;04/01/1970;0.67;3.56
2401;05/01/1970;0.7;3.9
2401;06/01/1970;0.62;2.98
2401;07/01/1970;0.41;1.32
2401;08/01/1970;0.64;3.21
2401;09/01/1970;0.71;4.04
2401;10/01/1970;0.84;5.98
2401;11/01/1970;0.95;7.95
2401;12/01/1970;0.63;3.1
2401;13/01/1970;0.5;1.9
2401;14/01/1970;0.47;1.71
2401;15/01/1970;0.58;2.58
2401;16/01/1970;0.63;3.1
2401;17/01/1970;0.63;3.1
2401;18/01/1970;0.76;4.74
2401;19/01/1970;0.73;4.32
2401;20/01/1970;0.65;3.33
2401;21/01/1970;0.61;2.87
2401;22/01/1970;0.68;3.67
2401;23/01/1970;0.71;4.04
2401;24/01/1970;0.63;3.1
2401;25/01/1970;0.65;3.33
2401;26/01/1970;0.7;3.9
2401;27/01/1970;0.65;3.33
2401;28/01/1970;0.64;3.21
2401;29/01/1970;0.64;3.21
2401;30/01/1970;0.08;0.14
2401;31/01/1970;0.65;3.33
2401;01/02/1970;0.51;1.99
2401;02/02/1970;0.56;2.41
2401;03/02/1970;0.56;2.41
2401;04/02/1970;0.53;2.16
2401;05/02/1970;0.54;2.24
2401;06/02/1970;0.58;2.58
2401;07/02/1970;0.58;2.58
2401;08/02/1970;0.55;2.33
2401;09/02/1970;0.57;2.5
2401;10/02/1970;0.54;2.24
2401;11/02/1970;0.54;2.24
2401;12/02/1970;0.55;2.33
2401;13/02/1970;0.57;2.5
2401;14/02/1970;0.58;2.58
2401;15/02/1970;0.58;2.58
2401;16/02/1970;0.63;3.1
2401;17/02/1970;0.6;2.75
2401;18/02/1970;0.66;3.44
2401;19/02/1970;0.67;3.56
2401;20/02/1970;0.7;3.9
2401;21/02/1970;0.68;3.67
2401;22/02/1970;0.68;3.67
2401;23/02/1970;0.7;3.9
2401;24/02/1970;0.7;3.9
2401;25/02/1970;0.67;3.56
2401;26/02/1970;0.7;3.9
2401;27/02/1970;0.68;3.67
2401;28/02/1970;0.7;3.9
2401;01/03/1970;0.69;3.79
2401;02/03/1970;0.57;2.5
2401;03/03/1970;0.23;0.52
2401;04/03/1970;0.09;0.16
2401;05/03/1970;0.07;0.13
2401;06/03/1970;0.06;0.11
2401;07/03/1970;0.03;0.05
2401;08/03/1970;0;0
2401;09/03/1970;0;0
2401;10/03/1970;0;0
2401;11/03/1970;0.02;0.04
2401;12/03/1970;0.04;0.07
2401;13/03/1970;0.05;0.09
2401;14/03/1970;0.05;0.09
2401;15/03/1970;0.05;0.09
2401;16/03/1970;0.03;0.05
2401;17/03/1970;0;0
2401;18/03/1970;0;0
2401;19/03/1970;0;0
2401;20/03/1970;0;0
2401;21/03/1970;0;0
2401;22/03/1970;0;0
2401;23/03/1970;0;0
2401;24/03/1970;0;0
2401;25/03/1970;0;0
2401;26/03/1970;0;0
2401;27/03/1970;0;0
2401;28/03/1970;0;0
2401;29/03/1970;0.01;0.02
2401;30/03/1970;0.01;0.02
2401;31/03/1970;0.01;0.02
2401;01/04/1970;0.01;0.02
2401;02/04/1970;0.39;1.21
2401;03/04/1970;0.52;2.07
2401;04/04/1970;0.4;1.25
2401;05/04/1970;0.56;2.41
2401;06/04/1970;0.57;2.5
2401;07/04/1970;0.56;2.41
2401;08/04/1970;0.3;0.8
2401;09/04/1970;0.35;1.03
2401;10/04/1970;0.35;1.03
2401;11/04/1970;0.45;1.58
2401;12/04/1970;0.39;1.21
2401;13/04/1970;0.53;2.16
2401;14/04/1970;0.44;1.51
2401;15/04/1970;0.43;1.45
2401;16/04/1970;0.35;1.03
2401;17/04/1970;0.22;0.48
2401;18/04/1970;0.04;0.07
2401;19/04/1970;0.03;0.05
2401;20/04/1970;0.32;0.89
2401;21/04/1970;0.27;0.68
2401;22/04/1970;0.23;0.52
2401;23/04/1970;0.08;0.14
2401;24/04/1970;0.06;0.11
2401;25/04/1970;0.08;0.14
2401;26/04/1970;0.04;0.07
2401;27/04/1970;0.03;0.05
2401;28/04/1970;0.13;0.25
2401;29/04/1970;0.2;0.4
2401;30/04/1970;0.12;0.22
2401;01/05/1970;0.07;0.13
2401;02/05/1970;0.11;0.2
2401;03/05/1970;0.04;0.07
2401;04/05/1970;0.03;0.05
2401;05/05/1970;0.09;0.16
2401;06/05/1970;0.03;0.05
2401;07/05/1970;0.03;0.05
2401;08/05/1970;0.4;1.25
2401;09/05/1970;0.54;2.24
2401;10/05/1970;0.71;4.04
2401;11/05/1970;0.74;4.46
2401;12/05/1970;0.62;2.98
