ref_ceh;anomes_ci;dia_ci;hci;qci
2401;196910;;;4.32
2401;196911;;;4.74
2401;196912;;;5.02
2401;197001;11;1.05;9.95
2401;197002;;;4.74
2401;197003;;;3.9
2401;197004;;;3.44
2401;197005;;;5.16
2401;197006;;;3.21
2401;197007;;;5.02
2401;197008;;;4.32
2401;197009;;;3.67
2401;197010;;;4.88
2401;197011;30;0.78;5.02
2401;197012;;;4.32
2401;197101;;;4.88
2401;197102;;;3.9
2401;197103;;;3.33
2401;197104;;;4.18
2401;197105;;;4.32
2401;197106;;;4.74
2401;197107;;;3.67
2401;197108;;;4.32
2401;197109;;;3.9
2401;197110;30;0.8;5.3
2401;197111;;;5.02
2401;197112;;;4.74
2401;197201;;;3.78
2401;197202;;;4.6
2401;197203;;;3.32
2401;197204;;;3.67
2401;197205;;;4.46
2401;197206;;;4.74
2401;197207;;;3.78
2401;197208;;;4.04
2401;197209;;;3.78
2401;197210;4;0.79;5.16
2401;197211;;;4.04
2401;197212;;;4.04
2401;197301;;;4.18
2401;197302;;;3.78
2401;197303;;;4.46
2401;197304;;;3.56
2401;197305;;;4.18
2401;197306;;;3.67
2401;197307;;;2.86
2401;197308;;;3.21
2401;197309;;;3.09
2401;197310;;;3.78
2401;197311;;;4.6
2401;197312;;;3.56
2401;197401;;;4.04
2401;197402;;;4.88
2401;197403;;;3.67
2401;197404;;;6.15
2401;197405;29;1.04;9.74
2401;197406;;;2.98
2401;197407;;;3.09
2401;197408;;;3.32
2401;197409;;;3.56
2401;197410;3;0.77;6.01
2401;197411;;;5.55
2401;197412;;;5.32
2401;197501;;;5.43
2401;197502;;;5.66
2401;197503;;;5.43
2401;197504;;;5.32
2401;197505;;;5.32
2401;197506;;;4.51
2401;197507;;;4.86
2401;197508;;;4.51
2401;197509;;;1.83
2401;197510;;;4.74
2401;197511;;;5.55
2401;197512;;;5.89
2401;197601;;;4.86
2401;197602;;;4.97
2401;197603;;;6.12
2401;197604;;;4.86
2401;197605;;;4.86
2401;197606;;;0.58
2401;197607;;;1.75
2401;197608;;;0.72
2401;197609;9;0.8;6.35
