indroea;anomes_ci;dia_ci;hci;qci
2000;196204;;0.7;
2000;196303;;0.35;
2000;196311;;0.3;
2000;196509;;0.26;
2000;197710;;;16.31
2000;197711;;;2.4
2000;197712;;;28.21
2000;197801;;;18.1
2000;197802;16;0.6;32.24
2000;197803;;;15.72
2000;197804;;;11.21
2000;197805;;;8.33
2000;197806;;;7.42
2000;197807;;;3.09
2000;197808;;;7.42
2000;197809;;;4.21
2000;197810;;;5.22
2000;197811;;;2.48
2000;197812;;;29.66
2000;197901;;;25.18
2000;197902;5;0.84;45.34
2000;197903;;;20.7
2000;197904;;;15.66
2000;197905;;;17.34
2000;197906;;;10.06
2000;197907;;;6.24
2000;197908;;;0.52
2000;197909;;;0.83
2000;197910;;;12.86
2000;197911;;;6.75
2000;197912;;;3.34
2000;198001;;;12.86
2000;198002;;;8.4
2000;198003;28;0.5;26.3
2000;198004;;;9.5
2000;198005;;;8.4
2000;198006;;;18.46
2000;198007;;;1.74
2000;198008;;;2.05
2000;198009;;;0.52
2000;198010;;;0.52
2000;198011;;;3.34
2000;198012;;;6.75
2000;198101;;;2.05
2000;198102;28;0.16;7.3
2000;198103;;;5.73
2000;198104;;;4.2
2000;198105;;;3.34
2000;198106;;;1.44
2000;198107;;;1.13
2000;198108;;;1.13
2000;198109;;;1.13
2000;198110;;;0.8
2000;198111;;;0.2
2000;198112;24;1.18;70.93
2000;198201;;;15.716
2000;198202;;;8.328
2000;198203;;;4.592
2000;198204;;;7.008
2000;198205;;;6.184
2000;198206;;;4.208
2000;198207;;;0.2
2000;198208;;;0.2
2000;198209;;;0.2
2000;198210;;;3.092
2000;198211;;;29.216
2000;198212;12;0.77;45.6
2000;198301;;;7.008
2000;198302;;;30.728
2000;198303;;;8.328
2000;198304;;;11.214
2000;198305;;;17.504
2000;198306;;;3.44
2000;198307;;;4.592
2000;198308;;;2.048
2000;198309;;;2.744
2000;198410;;;2.396
2000;198411;;;33.792
2000;198412;;;9.236
2000;198501;;;33.016
2000;198502;;;27.704
2000;198503;;;15.716
2000;198504;8;0.68;38.448
2000;198505;;;5.772
2000;198506;;;9.236
2000;198507;;;1.1
2000;198508;;;0.2
2000;198509;;;0.2
2000;198602;;;9.69
2000;198603;;;4.976
2000;198604;22;0.28;11.214
2000;198605;;;8.328
2000;198606;;;3.44
2000;198607;;;2.048
2000;198608;;;0.2
2000;198609;;;0.2
2000;198610;6;0.04;0.842
2000;198611;1;0.04;0.842
2000;198612;31;0.06;1.44
2000;198701;27;0.1;2.989
2000;198702;21;0.18;7.292
2000;198703;1;0.13;4.497
2000;198704;7;0.52;35.824
2000;198705;1;0.1;2.989
2000;198706;1;0.05;1.053
2000;198707;13;0.16;6.099
