indroea;ano_hidr;aportano;qmedano;hmedano;qc;hc;ano_c;mes_c;dia_c;qci;hci;ano_ci;mes_ci;dia_ci;qcn;hcn;ano_cn;mes_cn;dia_cn;orig_dato_id
2000;1961;113.954;3.613;0.1;32.6;0.7;1962;4;1;;;;;;0.24;0.01;1962;6;25;1
2000;1962;32.798;1.04;0.04;14.75;0.35;1963;3;11;;;;;;0.09;0.04;1963;3;2;1
2000;1963;38.741;1.225;0.04;12.2;0.3;1963;11;15;;;;;;0.001;0;1964;8;9;1
2000;1964;41.183;1.306;0.04;10.25;0.26;1965;9;29;;;;;;0;0;1965;6;27;1
2000;1965;96.141;3.049;0.08;32.24;0.6;1966;1;22;;;;;;0.2;0;1966;7;25;1
2000;1966;81.088;2.571;0.07;18.1;0.4;1966;11;8;;;;;;0.2;0;1967;7;25;1
2000;1967;72.802;2.302;0.06;24.68;0.5;1968;5;23;;;;;;0.2;0;1968;9;15;1
2000;1968;73.152;2.32;0.06;24.68;0.5;1969;4;22;;;;;;0.5;0.01;1969;7;15;1
2000;1969;56.668;1.797;0.05;32.24;0.6;1970;1;5;;;;;;0.2;0;1970;9;20;1
2000;1970;54.768;1.737;0.05;8.33;0.22;1971;4;29;;;;;;0.11;0.03;1970;11;23;1
2000;1971;90.675;2.867;0.08;28.36;0.7;1972;2;11;;;;;;0.2;0;1972;8;30;1
2000;1972;97.918;3.105;0.09;16.91;0.38;1972;11;20;;;;;;0.5;0.01;1973;9;29;1
2000;1973;98.188;3.114;0.09;21.28;0.45;1974;1;9;;;;;;0.5;0.01;1974;8;11;1
2000;1974;77.829;2.468;0.07;12.23;0.3;1975;4;18;;;;;;0.34;0.01;1975;7;25;1
2000;1975;54.716;1.73;0.05;5.36;0.15;1976;5;5;;;;;;0;0;1976;8;6;1
2000;1976;133.109;4.221;0.12;24.68;0.5;1977;2;20;;;;;;0.2;0;1977;9;11;1
2000;1977;136.168;4.318;0.12;32.24;0.6;1978;2;16;32.24;0.6;1978;2;16;0.2;0;1978;8;2;1
2000;1978;159.65;5.062;0.11;27.42;0.52;1979;2;5;45.34;0.84;1979;2;5;0.52;0;1979;7;5;1
2000;1979;85.858;2.715;0.06;18.46;0.36;1980;3;29;26.3;0.5;1980;3;28;0.52;0;1980;8;17;1
2000;1980;44.213;1.402;0.03;5.22;0.12;1981;2;28;7.3;0.16;1981;2;28;0.52;0;1981;6;6;1
2000;1981;93.529;2.966;0.07;38.907;0.68;1981;12;24;70.93;1.18;1981;12;24;0.2;0;1982;6;26;1
2000;1982;115.34;3.657;0.1;20.074;0.43;1983;2;26;45.6;0.77;1982;12;12;0.2;0;1983;7;21;1
2000;1983;46.781;1.479;0.04;17.504;0.39;1983;12;23;;;;;;0.2;0;1984;4;1;1
2000;1984;119.251;3.781;0.1;21.39;0.45;1985;4;8;38.448;0.68;1985;4;8;0.2;0;1985;7;29;1
2000;1985;74.538;2.364;0.07;13.386;0.32;1985;12;23;;;;;;0.2;0;1986;7;8;1
2000;1986;49.152;1.559;0.06;19.698;0.35;1987;4;8;35.824;0.52;1987;4;7;0;0;1987;8;14;1
2000;1987;79.997;2.53;0.09;27.444;0.46;1988;1;30;52.228;0.7;1988;1;29;0.271;0;1988;8;10;1
2000;1988;26.154;0.829;0.05;7.655;0.21;1989;3;1;11.119;0.26;1989;3;1;0.271;0;1989;7;16;1
2000;1989;;;;;;;;;;;;;;;;;;;1
2000;1990;;;;;;;;;;;;;;;;;;;1
2000;1991;;;;;;;;;;;;;;;;;;;1
2000;1992;52.431;1.663;0.07;16.393;0.33;1992;12;7;54.582;0.72;1992;12;4;0.271;0;1993;7;28;1
2000;1993;54.969;1.743;0.08;8.338;0.22;1994;5;21;16.393;0.33;1993;10;12;0.271;0;1994;7;14;1
2000;1994;39.899;1.265;0.06;34.101;0.53;1995;1;1;52.228;0.7;1994;12;31;0.271;0;1994;10;1;1
2000;1997;70.629;2.24;0.09;55.33;0.67;1997;12;18;120.06;1;1997;12;18;0.08;0.01;1998;8;29;1
2000;1998;39.737;1.26;0.07;5.298;0.2;1999;4;22;7.463;0.25;1999;2;14;0.24;0.02;1999;7;23;1
2000;1999;65.619;2.075;0.09;22.458;0.49;1999;12;27;39.73;0.68;1999;10;24;0.085;0.01;2000;7;14;1
2000;2000;135.152;4.286;0.14;53;0.78;2001;3;4;93.4;1.09;2001;3;4;0.085;0.01;2001;9;1;1
2000;2001;24.912;0.79;0.05;4.2;0.17;2002;3;21;6.12;0.22;2001;12;24;0.085;0.01;2001;10;1;1
2000;2002;108.113;3.428;0.13;47;0.72;2003;1;3;91;1.08;2003;1;3;0.085;0.01;2003;7;24;1
2000;2003;91.02;2.878;0.11;36;0.57;2004;1;27;59.7;0.78;2004;1;27;0.099;0.01;2004;8;5;1
2000;2004;39.126;1.241;0.06;8.1;0.24;2005;3;22;12.3;0.31;2004;10;27;0.024;0;2005;8;17;1
2000;2005;36.789;1.167;0.06;21;0.42;2006;3;24;33.9;0.56;2006;3;23;0.021;0;2005;10;10;1
2000;2006;81.158;2.574;0.1;33.2;0.53;2007;2;12;84;0.95;2007;2;12;0.047;0.01;2007;9;23;1
2000;2007;57.905;1.831;0.08;13.7;0.36;2008;4;18;18.4;0.44;2008;4;18;0.027;0;2008;8;1;1
2000;2008;48.992;1.554;0.07;45.8;0.73;2009;1;23;74.3;1.05;2009;1;23;0.033;0.01;2009;6;5;1
2000;2009;100.009;3.171;0.11;45.3;0.73;2009;12;29;67.5;0.98;2009;12;29;0.014;0.01;2010;8;2;1
2000;2010;75.181;2.384;0.1;19.2;0.4;2011;1;7;21.7;0.44;2011;1;7;0.008;0;2011;9;15;1
2000;2011;43.862;1.387;0.07;15.1;0.34;2012;5;8;21.6;0.44;2012;5;8;0.028;0.01;2012;7;21;1
2000;2012;105.487;3.345;0.13;51.3;0.91;2013;3;30;;;;;;0.012;0.01;2013;8;18;1
2000;2013;90.807;2.879;0.26;28.9;0.87;2014;1;3;37.2;1;2014;1;3;0.106;0.06;2014;9;5;1
2000;2014;71.421;2.265;0.24;16.384;0.66;2014;11;29;21.233;0.75;2014;11;29;0.035;0.03;2015;8;20;1
2000;2015;95.043;3.006;0.22;43.394;1.03;2016;2;13;66.65;1.32;2016;1;11;0.049;0.03;2016;9;8;1
2000;2016;27.633;0.876;0.13;17.413;0.64;2017;2;5;27.245;0.81;2017;2;5;0.04;0.02;2017;8;22;1
2000;2017;82.386;2.612;0.21;21.173;0.71;2018;3;10;26.987;0.81;2018;3;14;0.06;0.03;2018;8;29;1
2000;2018;47.031;1.491;0.16;17.981;0.65;2019;2;1;34.231;0.91;2019;2;1;0.038;0.02;2019;8;14;1
2000;2019;86.08;2.722;0.22;36.395;0.94;2019;12;20;52.555;1.16;2019;12;20;0.039;0.02;2020;9;5;1
2000;2020;73.539;2.332;0.2;19.313;0.67;2021;1;25;30.469;0.86;2021;1;25;0.043;0.02;2021;8;29;1
2001;1991;;;;;;;;;;;;;;;;;;;1
2001;1992;131.939;4.184;0.61;15.235;1.26;1993;7;29;25.642;1.61;1992;11;5;0.573;0.32;1993;5;24;1
2001;1993;147.902;4.69;0.62;13.948;1.21;1994;8;27;15.492;1.27;1994;8;26;0.236;0.24;1993;11;28;1
2001;1994;139.525;4.424;0.65;11.808;1.12;1995;8;1;13.456;1.19;1995;7;17;0.729;0.35;1994;11;15;1
2001;1995;196.168;6.203;0.73;43.31;2.13;1996;2;8;49.08;2.27;1996;2;;0.71;0.34;1996;3;8;1
2001;1996;184.126;5.839;0.74;29.11;1.74;1997;1;24;30.44;1.78;1997;1;27;1.95;0.48;1996;10;1;1
2001;1997;219.271;6.953;0.8;18.44;1.38;1998;8;13;18.44;1.38;1998;8;1;1.65;0.45;1997;11;18;1
2001;1998;158.672;5.031;0.69;13.309;1.17;1999;7;24;13.994;1.2;1999;7;5;1.72;0.46;1999;4;16;1
2001;1999;160.085;5.062;0.68;13.536;1.18;2000;7;16;13.536;1.18;2000;7;16;1.925;0.48;2000;2;19;1
2001;2000;448.297;14.215;1.07;93.1;3.11;2001;3;6;93.1;3.11;2001;3;5;2.05;0.49;2000;11;19;1
2001;2001;104.83;3.324;0.59;6.17;0.8;2002;6;22;10.8;1.05;2002;8;5;1.81;0.47;2001;11;24;1
2001;2002;199.479;6.325;0.78;15;1.23;2003;2;4;24;1.56;2003;1;31;0.536;0.38;2002;10;5;1
2001;2003;205.929;6.512;0.8;33.6;1.86;2004;1;29;34.3;1.88;2004;1;28;0.905;0.43;2003;11;26;1
2001;2004;140.625;4.459;0.68;13.7;1.17;2005;5;10;22.4;1.5;2005;5;9;0.992;0.44;2005;3;17;1
2001;2005;103.465;3.281;0.59;10.1;1.02;2006;5;23;10.4;1.03;2006;5;22;0.32;0.35;2006;3;29;1
2001;2006;112.641;3.572;0.61;10.3;1.03;2007;8;5;11.9;1.1;2007;7;23;0.726;0.4;2007;1;13;1
2001;2007;100.629;3.182;0.52;9.35;0.91;2008;7;24;16.2;1.18;2008;6;20;0.896;0.34;2008;6;15;1
2001;2008;162.041;5.138;0.61;44.6;1.96;2009;1;30;46.4;2;2009;1;30;0.657;0.31;2008;12;2;1
2001;2009;210.094;6.662;0.72;36;1.85;2010;2;27;36.9;1.87;2010;2;27;0.776;0.32;2009;12;28;1
2001;2010;160.643;5.094;0.63;18.6;1.3;2011;3;31;25;1.52;2011;3;30;1.31;0.36;2011;3;12;1
2001;2011;127.994;4.048;0.56;10.3;0.94;2012;6;5;14.7;1.14;2012;6;4;0.728;0.29;2012;3;14;1
2001;2012;182.038;5.772;0.63;65.1;2.59;2013;3;31;69.5;2.69;2013;3;30;0.56;0.26;2013;2;14;1
2001;2013;250.305;7.937;0.79;36.4;1.87;2014;2;16;39.1;1.95;2014;2;14;1.6;0.39;2013;10;2;1
2001;2014;150.447;4.771;0.4;13.34;0.81;2015;3;25;19.059;1;2015;9;4;1.077;0.16;2015;3;17;1
2001;2015;268.725;8.498;0.53;147.504;3.22;2016;2;14;166.722;3.46;2016;2;13;1.507;0.2;2015;12;4;1
2001;2016;132.351;4.197;0.42;9.563;0.74;2017;8;7;19.114;1.03;2017;7;21;0.77;0.14;2017;4;4;1
2001;2017;131.722;4.177;0.38;17.43;0.95;2018;4;12;22.361;1.09;2018;4;11;0.661;0.13;2018;2;2;1
2001;2018;157.422;4.992;0.44;10.843;0.74;2019;7;31;24.377;1.14;2019;6;28;1.5;0.22;2019;3;27;1
2001;2019;209.693;6.631;0.5;56.467;1.84;2019;12;27;61.284;1.93;2019;12;26;1.513;0.22;2019;10;28;1
