num_cuenca;corriente;tipo_corr_id;cdr1;cdr2;desde;hasta;comentario;longitud;suprcnc;ambito_id
2001;DUERO                         ;12;0201            ;0002;ORIGEN                    ;TRIGUERA                  ;                       ;8.8;18.14;21
2002;TRIGUERA                      ;12;020102          ;0000;ORIGEN                    ;DUERO                     ;                       ;7.9;17.77;21
2003;DUERO                         ;12;0201            ;0201;TRIGUERA                  ;REVINUESA                 ;                       ;21.2;101.14;21
2004;REVINUESA                     ;12;020101          ;0000;ORIGEN                    ;DUERO                     ;                       ;20.6;122.36;21
2005;DUERO                         ;12;0201            ;0104;REVINUESA                 ;EBRILLOS                  ;                       ;5.1;22.2;21
2006;EBRILLOS                      ;12;020104          ;0002;ORIGEN                    ;VADILLO                   ;                       ;9.7;33.47;21
2007;VADILLO                       ;12;02010402        ;0000;ORIGEN                    ;EBRILLOS                  ;                       ;11;23.64;21
2008;EBRILLOS                      ;12;020104          ;0200;VADILLO                   ;DUERO                     ;                       ;21.5;205.81;21
2009;DUERO                         ;12;0201            ;0406;EBRILLOS                  ;PEDRAJAS                  ;                       ;26.3;142.96;21
2010;PEDRAJAS                      ;12;020106          ;0000;ORIGEN                    ;DUERO                     ;                       ;17.7;68.17;21
2011;DUERO                         ;12;0201            ;0603;PEDRAJAS                  ;TERA                      ;                       ;5.5;20.92;21
2012;TERA                          ;12;020103          ;0002;ORIGEN                    ;RAZON                     ;                       ;23;190.4;21
2013;RAZON                         ;12;02010302        ;0001;ORIGEN                    ;RAZONCILLO                ;                       ;19.5;73.8;21
2014;RAZONCILLO                    ;12;0201030201      ;0000;ORIGEN                    ;RAZON                     ;                       ;9.1;53.16;21
2015;RAZON                         ;12;02010302        ;0100;RAZONCILLO                ;TERA                      ;                       ;12.2;44.89;21
2016;TERA                          ;12;020103          ;0200;RAZON                     ;DUERO                     ;                       ;10.5;66.19;21
2017;DUERO                         ;12;0201            ;0305;TERA                      ;MERDANCHO                 ;                       ;1.8;1.62;21
2018;MERDANCHO                     ;12;020105          ;0001;ORIGEN                    ;CHAVALINDO                ;                       ;19.1;143.76;21
2019;CHAVALINDO                    ;12;02010501        ;0000;ORIGEN                    ;MERDANCHO                 ;                       ;9.8;85.8;21
