indroea;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2000;58;55;3;1961;2020;687;2.358;0.79;5.06;0.42;0.5;0;14.97;0.861;2.153;3.201;3.661;3.775;3.863;4.031;3.221;1.636;0.622;0.348;0.31;7.04;3.51;1.48;0.5;0.11
2001;30;29;1;1991;2020;354;5.627;3.19;14.22;0.38;2.16;0.38;47.07;2.19;1.646;2.137;4.77;7.482;4.648;4.154;5.462;7.642;9.782;10.118;7.398;12.64;8.35;4.75;1.92;0.77
2002;105;91;14;1913;2020;1159;10.264;2.89;28.23;0.48;1.41;0.37;117.19;4.36;6.254;8.924;13.048;15.255;14.653;12.79;10.802;9.5;8.742;9.29;7.606;27.74;12.11;8.17;4.15;1.79
2003;61;55;6;1929;1994;703;0.625;0;1.53;0.62;0.79;0;7.93;0.152;0.522;0.98;1.353;1.557;1.185;0.688;0.432;0.246;0.106;0.068;0.078;2.75;0.67;0.2;0.08;0.04
2004;92;88;4;1929;2020;1085;19.821;4.88;86.26;0.62;2.38;2.58;194.23;10.445;12.819;17.968;26.12;31.204;30.296;26.036;22.246;17.855;14.354;14.477;13.626;53.28;22.78;14.34;8.87;4.87
2005;72;71;1;1949;2020;859;4.698;0.69;16.22;0.62;1.14;0.02;46.35;1.714;3.45;5.745;8.578;10.441;8.005;6.748;5;3.575;1.545;0.918;0.982;17.04;5.89;2.35;1.13;0.4
2006;106;80;26;1912;2020;1076;1.702;0.25;5.05;0.51;1.11;0.04;29.07;1.108;2.181;2.365;2.096;1.997;2.655;3.085;2.806;1.016;0.468;0.257;0.395;5.6;2.24;1.04;0.35;0.12
2007;71;60;11;1920;1990;769;23.609;8.49;62.65;0.5;1.27;2.85;150.77;11.494;16.134;23.839;33.276;40.704;38.091;31.908;26.088;19.003;12.715;12.686;12.034;70.12;24.86;15.84;10.44;5.93
2008;22;22;0;1965;1986;264;0.449;0.2;0.8;0.3;0.41;0.01;2.41;0.152;0.437;0.575;0.771;0.97;0.672;0.555;0.584;0.335;0.164;0.11;0.084;1.28;0.69;0.3;0.13;0.04
2009;107;90;17;1914;2020;1184;0.582;0.09;1.44;0.49;1.05;0;4.52;0.139;0.387;0.705;0.956;1.036;1.036;0.975;0.835;0.529;0.211;0.094;0.085;1.83;0.87;0.36;0.13;0.03
2010;93;89;4;1928;2020;1089;2.579;0.77;8.45;0.6;1.58;0;39.79;0.873;0.955;1.639;2.988;3.979;3.387;2.944;3.064;2.813;3.4;3.187;2.219;7.82;3.41;1.55;0.59;0.21
2011;80;79;1;1941;2020;957;9.745;4.11;29.13;0.37;2.29;0.79;61.93;5.846;7.046;6.961;7.117;7.62;10.214;10.916;10.012;11.135;14.965;14.496;10.09;25.48;14.42;6.67;3.16;1.82
2012;77;52;25;1913;2020;791;2.228;0.7;4.45;0.38;0.99;0.09;12.93;1.206;1.792;2.419;3.03;3.313;3.472;3.663;3.257;2.095;1.207;1.02;1.011;5.73;2.85;1.57;1.06;0.56
2013;49;47;2;1972;2020;576;17.714;5.96;48.85;0.51;1.19;2.8;189.66;8.883;10.921;16.77;27.82;36.343;29.506;26.653;17.664;14.312;8.905;8.619;8.697;55;20.28;11.24;7.69;5.35
2014;54;44;10;1920;1975;568;40.437;14.95;102.95;0.49;1.19;2.53;211.29;23.217;31.842;44.238;60.398;66.169;65.697;53.657;43.043;31.651;18.848;17.004;20.189;116.62;46.37;26.73;18.39;9.07
2015;110;91;19;1911;2020;1232;34.247;10.08;122.83;0.61;1.75;1.1;279.76;18.235;26.372;37.198;54.452;62.924;58.465;48.181;36.663;26.546;14.15;11.712;14.595;103.07;38.63;21.37;13.58;6.83
2016;107;90;17;1912;2020;1202;3.24;0.66;9.31;0.51;0.74;0;25.71;0.848;2.4;3.918;5.139;5.37;5.301;5.421;5.174;2.804;1.034;0.507;0.658;10.28;4.56;1.95;0.55;0.05
2017;32;29;3;1989;2020;367;17.775;7.05;35.13;0.39;0.43;3.34;121.42;7.277;10.391;16.924;27.384;29.667;27.697;24.543;19.629;15.969;12.659;11.295;10.279;49.32;20.28;12.36;9.02;5.82
2018;21;20;1;2000;2020;248;2.059;0.26;7.8;0.84;1.94;0;24.59;0.376;1.355;3.622;4.277;4.877;4.263;2.856;2.171;1.327;0.381;0.169;0.156;8.53;2.79;0.91;0.25;0.06
2019;60;60;0;1961;2020;720;10.049;3.37;18.98;0.32;0.4;1.17;49.24;6.036;7.364;10.572;13.139;15.138;14.321;14.181;11.024;8.339;7.449;7.086;6.2;27.17;11.89;7.62;5.33;3.1
2020;67;67;0;1954;2020;804;9.73;5.46;20.54;0.29;1.09;1.42;50.39;5.58;5.514;6.106;7.619;9.38;8.928;8.053;9.399;11.329;15.336;16.817;12.564;22.9;14.22;7.08;3.81;2.68
2021;100;80;20;1912;2012;1090;5.686;2.05;10.56;0.33;0.21;0.15;33.15;3.042;3.671;4.618;6.472;7.374;8.469;8.175;6.686;4.955;4.643;4.821;3.952;13.84;7.41;4.71;2.44;0.68
2022;106;99;7;1912;2020;1236;2.999;0.89;8.33;0.4;1.33;0.22;18.76;2.549;3.62;4.167;4.516;4.519;4.346;3.682;2.758;2.108;1.341;1.196;1.572;8.39;4.11;2.01;1.26;0.63
2023;23;23;0;1998;2020;276;11.834;5.88;26.34;0.38;1.4;1.74;57.39;5.361;5.721;10.139;11.365;11.545;12.103;15.161;15.335;14.186;16.523;15.179;9.224;26.94;15.67;10.55;5.43;2.99
2024;110;91;19;1911;2020;1193;13.063;2.36;28.5;0.4;0.65;0.17;98.67;5.645;8.587;11.881;16.372;19.42;18.518;15.469;12.904;11.187;11.792;11.768;8.865;35.79;16.54;9.37;4.82;1.35
2025;24;23;1;1997;2020;284;1.105;0.34;3.49;0.63;1.74;0;12.35;0.515;0.695;1.032;1.958;2.08;2.275;1.966;1.42;0.895;0.424;0.273;0.375;4.09;1.2;0.71;0.42;0.08
2026;21;21;0;2000;2020;252;3.688;0.78;11.37;0.69;1.24;0;38.6;0.953;3.395;7.444;8.354;8.057;6.406;4.914;2.731;1.382;0.431;0.202;0.227;15.42;4.53;1.54;0.4;0.02
2027;14;14;0;1972;1985;168;64.584;25.29;130.16;0.42;0.79;4.12;598.17;36.71;47.012;65.97;87.884;147.434;89.533;81.624;71.736;45.689;36.037;36.928;34.384;216.47;72.85;44.15;33.9;21.17
2028;61;61;0;1960;2020;732;4.286;0.94;11.88;0.52;0.91;0;37.27;1.314;4.364;6.289;8.627;9.327;7.606;6.372;4.14;2.279;0.647;0.319;0.451;17.26;5.69;2.07;0.62;0.15
2029;109;78;31;1911;2020;1119;18.825;3.96;59.87;0.61;1.11;0;186.05;5.972;14.086;23.159;34.371;38.649;35.379;25.84;15.426;9.442;5.73;4.984;4.197;66.23;21.61;8.67;4.39;1
2030;108;87;21;1912;2020;1182;12.799;3.43;30.03;0.47;0.56;0.04;109.68;3.707;10.44;18.333;24.446;25.897;23.857;20.493;14.433;7.812;2.846;1.578;1.689;46.25;18.22;7.08;2.36;0.65
2031;110;88;22;1911;2020;1223;15.244;2.02;41.7;0.52;0.82;0;154.5;4.464;11.762;20.413;28.204;31.046;27.693;23.454;17.294;10.337;3.79;1.986;2.157;53.47;20.01;7.93;3.19;1.01
2032;49;46;3;1972;2020;576;2.097;0.21;4.74;0.43;0.6;0.02;17.25;1.287;1.208;1.694;2.704;3.051;2.336;2.744;2.197;2.043;2.253;2.452;1.935;6.35;2.52;1.55;1.05;0.49
2033;20;19;1;1977;1996;234;1.218;0.03;7.68;1.52;2.51;0;15.48;0.751;0.945;1.343;1.746;2.107;1.646;1.805;1.774;1.215;0.817;0.546;0.549;5.75;1.12;0.43;0.1;0
2034;60;59;1;1961;2020;717;1.235;0.4;2.82;0.41;1.08;0.03;7.71;0.816;1.405;1.76;1.754;1.76;2.043;1.898;1.454;0.922;0.432;0.303;0.322;3.36;1.73;0.94;0.43;0.11
2035;60;58;2;1961;2020;715;1.318;0.12;3.95;0.6;0.74;0;13.86;0.644;1.47;2.278;2.405;2.245;2.453;2.426;1.61;0.628;0.182;0.087;0.093;5.59;1.76;0.57;0.11;0
2036;109;87;22;1912;2020;1175;27.484;7.79;68.93;0.48;0.97;0.11;219.91;9.236;20.446;35.508;48.898;54.139;50.25;41.313;31.666;19.833;8.228;4.69;5.05;89.17;35.37;15.4;6.96;2.57
2037;40;40;0;1963;2020;480;7.498;0.97;14.52;0.46;-0.27;0.3;46.02;5.14;2.951;2.181;3.753;6.435;4.058;6.081;10.959;11.488;13.771;13.814;9.193;20.11;13.48;4.33;1.12;0.5
2038;85;65;20;1912;1999;922;10.975;2.54;19.99;0.4;-0.14;1.37;58.92;7.575;9.784;9.778;11.549;12.299;12.807;12.553;14.423;12.435;10.734;10.31;8.987;26.74;14.97;8.7;5.21;2.85
2039;3;3;0;1964;1966;36;2.117;0.1;5.46;1.12;0.66;0;34.93;0.077;0.54;1.953;6.413;12.53;2.027;2.04;0.633;0.003;0;0;0;34.93;1.19;0.06;0;0
2040;91;84;7;1930;2020;1057;11.895;1.02;32.2;0.5;0.52;0.02;88.58;7.949;10.183;12.347;15.529;16.24;14.887;14.52;13.868;11.136;9.139;9.143;8.015;30.13;14.54;9.6;5.88;1.81
2041;74;72;2;1940;2020;882;0.969;0.1;3.46;0.87;1.29;0;15.08;0.446;0.887;1.485;2.073;1.967;1.546;1.273;0.828;0.54;0.253;0.15;0.214;4.15;0.96;0.43;0.18;0.01
2042;109;82;27;1912;2020;1164;12.055;1.87;37.96;0.65;1.3;0.01;139.06;6.134;10.609;15.144;20.239;20.75;18.657;16.355;12.975;7.521;3.858;3.499;4.058;41.1;13.44;6.1;3.3;0.81
2043;91;84;7;1930;2020;1077;63.178;16.67;160.93;0.52;1.05;1.29;576.81;25.375;49.431;78.029;110.594;121.164;113.333;89.768;70.261;45.999;25.577;19.536;20.715;214.84;78.08;36.94;22.39;10.91
2044;92;84;8;1927;2020;1068;1.907;0.5;5.16;0.61;1.23;0;16.66;1.147;1.667;2.154;2.905;3.586;3.474;2.804;2.218;1.574;0.789;0.573;0.724;6.24;2.31;1.32;0.71;0.24
2045;3;0;3;1917;1919;8;;;;;;;;61.94;;52.17;;;;;95.7;59;31.63;17.81;30.36;;;;;
2046;106;87;19;1914;2020;1185;4.124;0.31;28.94;0.93;3.45;0;66.17;0.636;3.285;6.399;7.847;8.401;8.496;7.098;6.213;2.772;0.824;0.31;0.251;18.42;5.56;1.44;0.28;0
2047;61;61;0;1960;2020;732;0.72;0.01;2.55;0.84;0.8;0;10.81;0.111;0.448;0.944;1.494;1.708;1.618;1.016;0.847;0.345;0.071;0.039;0.053;3.72;0.82;0.1;0.02;0
2048;34;31;3;1978;2012;398;7.255;2.3;15.57;0.5;0.43;0.04;54.35;1.551;5.446;10.85;12.865;13.198;12.311;12.472;10.614;4.904;1.576;0.883;0.955;27.62;10.04;3.24;1.36;0.54
2049;75;73;2;1945;2020;893;0.952;0.12;3.86;0.82;1.54;0.03;11.55;0.41;0.629;1.049;1.578;1.87;1.607;1.327;1.089;0.7;0.404;0.312;0.356;3.09;1.13;0.47;0.24;0.1
2050;98;72;26;1912;2020;1051;3.342;0.83;6.17;0.36;-0.01;0;28.38;1.069;2.942;4.575;5.549;5.637;5.686;5.91;4.975;2.537;0.872;0.437;0.482;10.37;5.07;2.12;0.57;0.2
2051;69;65;4;1952;2020;806;0.664;0.17;1.23;0.43;-0.06;0;4.96;0.165;0.563;0.884;1;1.193;1.307;1.283;0.907;0.409;0.109;0.051;0.058;2.52;0.98;0.29;0.07;0.02
2052;61;61;0;1960;2020;732;2.037;0.36;5.06;0.5;0.7;0;33.11;0.474;1.626;2.96;3.723;3.945;4.058;3.709;2.531;1.154;0.236;0.045;0.075;7.88;2.78;0.95;0.13;0.02
2053;56;56;0;1964;2020;672;6.486;1.88;15.98;0.43;0.82;0;46.71;2.076;5.505;8.144;10.354;12.355;11.35;11.18;9.291;4.831;1.449;0.762;0.917;22.11;9.23;3.97;1.28;0.38
2054;99;84;15;1921;2020;1098;114.946;27.84;281.24;0.51;0.83;1.95;1007.69;53.278;91.044;140.066;192.01;221.413;212.081;170.798;124.484;79.738;42.925;36.59;42.069;394.46;137.83;69.16;41.44;23.15
2055;19;19;0;2002;2020;228;1.417;0.47;2.67;0.42;0.15;0;8.84;0.197;0.98;1.969;1.882;2.863;3.261;2.892;2.007;0.859;0.105;0.035;0.048;6;2.27;0.65;0.09;0.02
2056;101;83;18;1917;2020;1081;10.557;2.19;34.04;0.62;1.1;0.01;242.83;2.592;7.524;15.536;17.265;20.557;19.186;16.625;13.798;6.556;2.397;1.461;1.564;38.63;12.06;4.84;2;0.5
2057;49;49;0;1972;2020;588;1.192;0.27;2.86;0.55;0.71;0.01;11.13;0.257;0.698;1.306;2.08;2.556;2.058;2.195;1.815;0.879;0.237;0.153;0.16;4.72;1.63;0.49;0.18;0.07
2060;49;45;4;1972;2020;578;24.811;7.44;72.78;0.53;1.2;2.35;248.62;12.126;18.239;35.526;44.589;48.566;43.115;37.369;26.157;16.245;9.504;8.155;7.816;82.78;31.72;15.06;8.22;4.58
2061;27;26;1;1994;2020;323;16.071;4.34;37.85;0.51;0.74;1.29;118.1;6.576;11.546;20.822;26.937;29.242;28.474;27.024;14.904;8.558;6.937;5.92;4.809;53.94;19.74;8.15;5.77;3.54
2062;110;82;28;1911;2020;1167;110.31;34.9;281.21;0.5;0.93;0.85;879.77;52.692;94.924;135.961;190.646;210.984;195.74;165.646;125.411;77.648;35.093;23.509;31.655;353.62;137.8;65.94;37.16;15.21
2063;21;21;0;2000;2020;252;2.285;0.97;5.44;0.48;1.17;0.09;13.64;1.79;3.405;3.24;2.83;2.665;3.773;3.652;2.864;1.853;0.628;0.364;0.393;7.27;2.86;1.54;0.73;0.28
2064;32;31;1;1968;1999;381;4.986;2.39;9.73;0.43;0.64;1.04;40.38;3.19;3.824;6.241;7.83;8.554;5.969;5.692;5.289;4.345;2.958;2.925;3.518;13.37;5.03;3.55;2.73;1.89
2065;24;22;2;1959;1982;274;2.028;1.42;3.21;0.21;1.26;0.01;10.39;1.256;2.279;2.477;2.173;2.682;3.004;3.892;3.634;1.737;0.556;0.254;0.369;5.37;3.17;1.6;0.55;0.14
2066;48;46;2;1918;2010;558;114.491;32.73;304.02;0.55;1.05;0;1089.8;55.26;94.674;144.414;202.512;217.668;196.934;156.385;125.991;84.397;35.983;27.743;38.704;360.39;139.9;71.8;40.29;15.41
2067;60;39;21;1912;1973;607;21.68;8.59;36.29;0.27;0.35;0.4;90.8;10.534;25.904;28.496;30.408;29.596;41.942;40.826;32.292;16.015;6.869;2.535;4.303;66.34;33.8;15.34;4.73;1.12
2068;61;59;2;1959;2020;726;5.008;1.62;9.51;0.42;0.34;0;37.23;4.018;7.352;7.379;6.756;6.76;7.407;8.069;6.359;3.19;1.244;0.766;1.051;14.48;7.2;3.62;1.31;0.51
2069;48;38;10;1918;1968;495;69.585;26.24;128.49;0.34;0.63;0.02;318.28;28.749;75.356;98.382;105.764;115.175;137.626;119.517;78.906;38.366;11.035;3.199;10.111;191.45;102.67;52.31;11.94;0.67
2070;97;76;21;1912;2012;1032;10.755;2.31;22.08;0.39;0.46;0;53.86;5.622;12.103;15.683;15.853;16.41;19.639;17.188;13.116;6.423;2.583;1.668;2.441;32.05;15.51;7.12;2.53;0.77
2071;50;47;3;1942;1997;583;61.4;26.11;107.8;0.31;0.39;0.18;315.13;32.436;69.702;89.897;95.706;103.857;107.298;99.998;72.585;36.473;11.736;9.153;12.893;182.12;90.22;46.54;16.9;1.43
2072;30;19;11;1921;1950;283;50.798;29.75;82.71;0.3;0.9;0.03;221.11;25.8;51.637;73.641;80.466;79.643;100.071;83.888;64.456;29.835;9.093;4.161;9.658;132.98;70.21;38.21;9.75;1
2073;91;84;7;1930;2020;1054;6.699;1.4;22.71;0.52;1.44;0;126.46;2.945;5.61;9.676;11.027;11.771;10.408;8.189;6.706;4.87;3.292;2.628;2.189;20.21;7.79;4.51;1.89;0.35
2074;103;83;20;1917;2020;1087;75.831;27.06;153.95;0.39;0.49;0.07;514.71;38.708;78.235;107.003;115.905;119.79;132.025;119.886;87.656;46.387;18.244;13.838;19.076;225.05;109.07;46.12;23.65;3.12
2075;76;54;22;1912;2020;807;14.419;8.67;24.99;0.26;0.62;1.41;64.27;6.561;6.611;6.631;9.289;10.763;11.473;15.005;15.254;17.282;27.971;26.99;14.134;35.73;21.84;9.77;4.6;2.66
2076;51;48;3;1961;2020;594;10.389;3.96;21.06;0.38;0.74;0;65.81;4.802;9.25;14.346;17.339;18.614;17.332;15.803;11.623;7.15;3.508;2.154;2.311;30.76;14.09;7.5;3.15;0.76
