ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2001;75;74;1;1946;2020;899;195.6;37.2;439.6;0.5;0.7;-0.3;148.8;5.5;12.4;22.2;30.2;29.7;29.5;25.7;18.2;9.4;4.4;4.1;3.8;58.8;21.2;8.9;4.1;1.5
2002;72;71;1;1949;2020;863;7578.1;2700.9;18991.6;0.5;1.2;39.8;5597.2;361.4;548.6;772.5;1047.6;1087.3;1082.6;866;658;430.9;279.9;206.6;295.1;1936.9;734;413.9;282.6;139.8
2003;69;68;1;1952;2020;827;7632.5;2744.8;19079.9;0.5;1.2;39.8;5595.6;363.1;554.6;793.3;1058.8;1106.5;1078.8;865.6;663.8;430.3;282.6;204.5;298;1946.1;741.9;420.2;280.9;138.1
2004;65;62;3;1956;2020;777;8614.3;2593.4;21749.4;0.5;1.4;13.7;6253.5;469.3;686.1;889.2;1189.7;1210.6;1164.2;903;702.1;496.1;357.5;273.8;392.8;2134.7;810.9;513.6;342.9;185.9
2005;59;57;2;1962;2020;704;8564;3222;22154;0.5;1.4;41.4;6255.5;481.5;646.4;839;1139.4;1205.8;1153.8;907;730.4;524.9;378.2;294.1;412.7;1921.4;800.9;537.8;373.5;207.3
2010;34;32;2;1987;2020;397;86.4;29;163.7;0.4;0.2;0;41.2;2.6;4;10.1;12.5;10.5;12.5;11.5;8.8;6.2;3.3;2.9;2.5;23.2;9.4;4.4;2.6;2
2011;77;76;1;1944;2020;923;71.9;9.5;237.8;0.5;1.9;-2.4;187.8;1.6;5.6;9.6;12.5;9.7;10.2;9;7;3.7;1;0.6;0.7;19.8;8.3;3.4;1;0.1
2012;77;76;1;1944;2020;923;81;26.8;207.8;0.4;1;-0.4;45.6;4.5;8;9.6;10.6;10;11.1;9.7;7.6;4.6;2.2;1.4;1.7;19.8;9.2;4.8;2.1;0.6
2013;63;62;1;1958;2020;755;157.7;43.8;246.3;0.3;-0.2;-17.2;61.2;4.9;12.1;19.1;20.2;21;26.4;23.9;15.3;6.7;2.6;2.2;1.6;42.3;19.7;8.7;2.8;0.6
2014;78;76;2;1943;2020;927;232.1;96.5;414.1;0.3;0.3;0.7;100.1;12.7;21.2;24.6;22.8;22.1;30.8;33.4;31.6;17.7;6.8;4;4.1;51.5;28;15.2;6.1;2.3
2015;61;58;3;1960;2020;720;279;129;585.9;0.3;0.8;1.7;143.6;12;15.9;23.6;26.1;24.5;27.1;30.6;34.3;28.3;24.8;21.5;14.4;53.8;30.2;21;11.8;5.3
2016;59;57;2;1962;2020;704;300.2;93.7;622.2;0.3;0.5;2.4;151.7;14.9;18.4;27.4;35.8;39;37.3;34.7;27;18.7;16.7;17.5;15;64.7;29.8;19.1;12.5;6.6
