ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2001;75;75;0;1946;2020;900;109.9;6.9;194;0.4;0;0;239.1;64.8;70.6;86.4;104;119.1;136.3;150.5;154.9;146.1;122.2;92.5;71.5;214.8;153.5;108.8;59.9;10.9
2002;72;72;0;1949;2020;864;53.4;33.9;63.9;0.1;-0.4;13.2;65.7;51.6;54.1;53.7;54.1;53.6;54;53.8;53.3;53.9;53.3;52.5;52.8;63.6;61.8;53;50.4;41.3
2003;69;69;0;1952;2020;828;22.4;18.4;26.4;0.1;0.3;7.3;34.6;22.3;22.4;22.5;22.5;22.5;22.6;22.6;22.6;22.5;22;22.3;22.1;26.6;25.9;22;20;19.4
2004;65;65;0;1956;2020;780;101.6;38.3;177.1;0.6;0.4;2.8;180.2;99.7;102.8;102.9;103.3;102.4;102.5;103.3;102.3;102.5;99.4;98.3;99.3;178.1;175.2;56;54.6;43
2005;59;58;1;1962;2020;705;79;49;111.4;0.3;0.2;0;114.2;79.7;79.8;79.6;79.2;79.5;79.6;79.9;78.9;78;75.9;75.2;76;112.3;109.4;57;56.6;51.2
2010;34;32;2;1987;2020;400;46.3;14.2;57.8;0.2;-1.5;4.8;73.7;35.8;35.1;39.3;42.9;45.6;50.4;54.8;57.3;56.4;50.4;43.7;38.8;66.9;57.9;46.2;35.3;19.4
2011;77;77;0;1944;2020;924;14.2;0;20.4;0.3;-1.4;0;22.9;7.5;9.1;11.5;14;16.1;17.9;19.1;19.2;18.5;16;12.3;9.3;22.5;20.1;15.9;9.5;1.5
2012;77;77;0;1944;2020;924;6;1.4;8.6;0.2;-0.8;0;10.6;3.9;3;2.9;3.7;4.1;5.9;7.7;9.1;9.3;8.8;7.8;6.1;10.3;9.1;6;3.4;0.8
2013;63;63;0;1958;2020;756;34.7;15.1;52;0.2;-0.3;0.1;64.7;11.5;17.6;27.4;34.9;41;50.2;55.7;55.4;49.1;36.9;23.3;13.1;61.8;51.8;35.6;18.4;4.9
2014;78;77;1;1943;2020;930;39.1;17.6;55;0.2;-0.4;0;70.1;17.2;26.8;34.3;38.8;43;52.5;61.5;62.4;54.5;39.2;23.6;14.1;68.2;56.7;39.7;22;7
2015;61;59;2;1960;2020;726;52.7;12;72.9;0.3;-0.9;0;95;21.4;28.7;42.5;52.5;59.5;71.2;80.3;81.3;75.9;55.7;34.1;21.9;93.2;80.5;53.2;26.8;7.9
2016;59;58;1;1962;2020;706;133;6.9;194.7;0.3;-0.8;0;247.2;86.2;92;108.3;128;143.4;160.8;177.3;179.2;167.2;139.4;107.9;87.7;231.9;179.5;132.2;83.7;28.1
2026;71;70;1;1950;2020;843;150.6;8.4;215.6;0.3;-1.2;0.3;308;50.2;71.1;110.7;145.4;176.5;214.2;244.6;253.5;230;160.1;91.1;55.5;295;239.1;147.2;68.8;12.5
2027;69;67;2;1952;2020;825;10.6;3.4;14.6;0.3;-1;0;20;2.7;4.7;8.4;11.5;14.1;16.1;17.2;17.8;17;10.6;5;2.7;19.6;17.6;10.9;3.9;0.9
2028;65;64;1;1956;2020;779;8.2;2.9;17.9;0.3;1.1;0.1;25.8;6.1;7.2;7.9;8;8.1;9.4;10.8;12.2;11;7.8;5.4;4.5;16.9;11.1;7.6;4.8;1.8
2029;77;76;1;1944;2020;923;681.3;212.8;983.8;0.3;-0.4;25;1178;486.4;477.4;522.8;624.2;722.7;801.3;846.7;876.7;831;745.1;649.7;564.6;1048;947.8;693.6;452;197
2030;52;52;0;1969;2020;624;165.4;81.9;229.5;0.2;-0.3;0.2;303.6;94.9;109.9;135.7;160.8;183.9;210.9;233.2;241.9;221.5;173.7;123.9;94.1;287.7;219.3;160.5;116.4;51.4
2031;47;47;0;1974;2020;564;129;61.7;204.8;0.3;0;9.3;251.8;70.4;84.9;106.1;126.9;135.4;160.8;176.1;183.5;175.5;145.9;108.2;74.4;226;183.3;125.8;81.4;33.3
2032;34;33;1;1987;2020;397;384;77.5;468.7;0.2;-1.5;0.6;639.8;233;279.2;344.9;393.6;431.9;481.6;521;528.2;479.8;386.3;293;229.3;602.5;520.5;379.2;274.1;126.2
2033;33;32;1;1988;2020;391;139.9;79;158.1;0.2;-1.6;47.9;161.3;136.3;135.5;138.1;137.9;139.6;138.1;140.3;141.1;141.3;140.2;142.1;139.2;158.7;155.3;152;142;88
2034;26;25;1;1995;2020;308;30.2;28.8;32;0;0.4;19.2;35.3;29;28;27.8;27.9;28.3;28.8;30.4;32.7;32;33;32.8;32.1;34.6;32.9;30.1;27.7;26.8
2036;70;70;0;1951;2020;840;29.8;2.4;44.7;0.3;-0.9;0.2;58.1;16.8;19.2;23.8;29.8;34.7;39.4;42.7;42.6;39.3;30.2;21.8;17.2;53.3;42;29.9;18.7;5.3
