ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2001;75;75;0;1946;2020;900;193.9;59.9;444.7;0.4;1.2;0;148;10.6;5.9;6.8;12.6;14.8;12.2;11.7;13.8;18.4;28.7;33.8;24.7;42.7;24.9;11.6;3.9;0.8
2002;72;72;0;1949;2020;864;7633.4;2703.7;18991.9;0.5;1.2;39.8;5596.2;357.7;547.3;772.7;1047.5;1087.5;1082.4;866.2;658.2;430.6;281.2;205.7;296.4;1935.1;733.2;412.8;279.8;135.7
2003;69;69;0;1952;2020;828;7700.7;2746.7;19079.9;0.5;1.1;39.8;5595.6;359.7;554.6;793.3;1058.8;1106.5;1078.7;865.6;663.8;430.5;283.2;204.1;298.1;1946.1;737.5;418.7;280.7;137
2004;65;64;1;1956;2020;779;8627.3;2593.4;21754.8;0.5;1.3;13.7;6256;463.9;684.7;889.6;1189;1211.6;1164.2;902.5;702.4;496.6;360.2;275.2;391.2;2134.7;808.5;512.3;344.1;184
2005;59;58;1;1962;2020;705;8658.9;3222;22159.1;0.5;1.3;7.8;6255.5;474.5;645.9;839.3;1139.1;1205.5;1153.5;907.2;731.1;526.8;380.4;292.8;411.4;1915.5;800.9;537.8;374.8;210.6
2010;34;32;2;1987;2020;399;86.7;36.6;168.4;0.3;0.8;1.7;41.7;5.5;4.7;5.9;8.8;7.8;6.7;7;6.3;7.1;8.9;9.7;7.6;15.3;8.4;5.8;4.6;2.9
2011;77;77;0;1944;2020;924;71;16.7;239;0.5;2;0;172.7;3.1;3.6;7;10.2;7.6;8.5;8;6.8;4.5;3.9;4.3;3.5;17.2;6.6;4.1;2.4;1.5
2012;77;77;0;1944;2020;924;81.1;27.1;214.4;0.4;1.1;0.3;44.5;6.6;8.6;9.6;10.1;9.6;9.3;7.8;6.2;4.5;2.8;2.5;3.6;19.5;8.9;4.8;2.6;0.9
2013;63;63;0;1958;2020;756;155.9;52;244.1;0.3;-0.1;0;49.5;6.4;6.1;9.4;12.6;14.8;17.3;18.3;15.6;13;14.9;15.8;11.8;30.1;18.2;11.7;5.6;1.7
2014;78;77;1;1943;2020;929;232.2;103.8;417.2;0.3;0.4;0.5;98;9.6;11.5;17.2;18.3;17.9;20.9;24.3;30.8;25.6;22.1;19.7;13.6;45.8;25.9;17.6;9.6;2.7
2015;61;59;2;1960;2020;722;280.5;131.2;601.4;0.3;1;0.7;138.8;12.8;8.5;9.8;15.3;17.2;15.2;22.8;33.4;34.1;44.1;42.9;26.6;54.2;38.5;20.5;5.5;1.3
2016;59;59;0;1962;2020;708;301;174.4;622.8;0.3;1.2;3;133.8;15.1;12.5;13.4;16.2;21.2;20;18.2;25.1;30.7;44.5;49.1;35.2;58.9;37.7;17.4;9.6;6.4
2026;71;69;2;1950;2020;842;433;261.4;884.8;0.3;1.1;1.2;166.6;22.1;14.4;13.1;17.4;20.8;26.3;32.7;37.1;47;79;78.4;43.8;94.1;60.5;26.3;8.3;4
2027;69;67;2;1952;2020;824;33.9;9.8;132.1;0.6;2.3;0;46.1;0.6;0.4;1.2;2.6;3;3.1;2.7;1.7;2.7;7.4;5.8;2.6;8.6;4.5;1.4;0.4;0.1
2028;65;63;2;1956;2020;777;101.3;43.8;218.2;0.4;1;0;39.7;5.3;9.6;11.5;12.6;10.7;11.8;12.8;10.9;6.2;4.4;2.7;1.7;21.5;11.8;7;3.1;0.5
2029;77;75;2;1944;2020;922;4042.6;1574.9;10259.9;0.5;1.2;0;3204.3;217.1;287.8;388.1;500.9;521.9;551.7;434.8;361.2;242.2;195.5;145.3;199.9;999;383.9;246.7;158.3;55.9
2030;52;52;0;1969;2020;624;317.2;186.4;509.6;0.2;0.6;2.9;88.3;16.7;10.9;11.4;11.1;12.2;16.3;22.3;26;36.5;57.5;58.1;38.1;70.5;40.5;18;8.7;5.6
2031;47;47;0;1974;2020;564;445;157.2;1153.9;0.5;1.1;0;291;21.6;21.3;40.7;52.6;45.9;38.1;34.2;32.8;31.7;41;45.2;40;95.5;49;31.4;12.2;2.9
2032;33;33;0;1988;2020;396;601.2;388.2;1159.3;0.2;1.6;1.7;205.3;24.1;12.3;17.3;27.1;27.4;44.7;53.3;54.3;73.6;103.5;99.3;64.2;121.7;76.8;43.3;15.1;8.7
2033;33;32;1;1988;2020;389;491.7;165.4;1470.2;0.6;1.5;2.3;389.4;22.1;21;49.9;68.4;49.1;45.7;36.2;36;31.8;44.4;44.4;40.4;109.7;49.2;32;13.8;6.3
2034;26;25;1;1995;2020;308;611.6;269.3;1933.8;0.6;1.7;9.9;514.2;30.6;29.7;68.8;79.7;70.8;69.4;57.6;47.3;36.2;43.8;43.5;42.4;149.6;56.7;35.2;21.3;11.7
2036;70;70;0;1951;2020;840;72.5;26.5;257.4;0.6;1.8;0;100.4;1.8;1.5;2.8;5.2;7;6.1;6;7;7.3;11;10.3;6.5;18.6;8.9;3.7;0.7;0
2037;78;74;4;1943;2020;916;97;31;220.1;0.4;0.9;0;64.2;5.6;8.2;9.3;12.2;12.4;11.9;9.5;8.1;5.2;4.5;4.5;4.8;22.1;9.5;5.5;4.2;2.4
2038;67;66;1;1954;2020;795;784.9;262.4;1664.3;0.5;0.7;3;592.4;42.9;59.9;72.3;78.2;71.1;73.5;69.7;66.1;56.5;66.9;71.1;55.2;171.6;79.7;46.8;26.8;15
2039;78;75;3;1943;2020;922;452.6;53.1;2175;0.7;2;0.3;533.3;14.9;37.8;63.6;73.6;64.4;60.6;45.1;34.6;15.2;7.4;6.2;5.6;153;38.2;10.6;5.2;3
2040;52;50;2;1969;2020;611;86.5;35.1;153.6;0.4;0.3;0.3;79.3;4.6;6.8;7.4;10.1;11.6;10.3;9.4;8.3;5.2;4.3;4.1;4.1;21.6;8.5;4.7;3.4;2
2041;47;46;1;1974;2020;563;1316.7;386.7;2961.9;0.4;0.8;0;492.8;137.4;148.8;125;118.3;96.8;117.8;84.2;81.8;90.4;95.8;98.5;123.3;258.2;159.4;97.4;45.4;7
