ref_evap;anomes;hora1;hora2;hora3;evapiche;evatanque;temedmax;temedmin;temedsec1;temedhum1;temedsec2;temedhum2;temedsec3;temedhum3;velviento;prectotmes;diasprec;insol
2014;200211;8;;;;0.9;8.7;2.6;;;;;;;2.7;211;24;40
2014;200202;8;;;;0.9;8.9;-1.1;;;;;;;3.1;69.9;12;101
2014;200203;8;;;;1.6;12.4;1.1;;;;;;;2.9;200.1;14;156
2014;200204;8;;;;3.2;15.4;1.6;;;;;;;2.5;57.9;10;215
2014;200205;8;;;;3.3;16.1;3.3;;;;;;;3;103.1;18;179
2014;200206;8;;;;4.9;23.2;8.8;;;;;;;2.3;27.2;10;234
2014;200207;8;;;;5.6;26.2;9.5;;;;;;;2.1;13.1;4;285
2014;200208;8;;;;4.4;24.3;9.2;;;;;;;1.9;21.1;7;243
2014;200307;8;;;;5.4;27.1;11.1;;;;;;;2.3;25.1;3;283
2014;200210;8;;;;1.2;14.8;5.5;;;;;;;2.5;211.2;18;97
2014;200111;8;;;;0.7;6.4;-1.5;;;;;;;1.3;108.9;12;79
2014;200212;8;;;;0.6;6.7;2.1;;;;;;;3.1;336.4;28;5
2014;200301;8;;;;0.9;4.6;-1.7;;;;;;;3;196.6;20;41
2014;200302;8;;;;0.8;6;-1.9;;;;;;;2.1;215.7;15;82
2014;200303;8;;;;1.6;14.4;1.8;;;;;;;2;74;13;146
2014;200304;8;;;;2.5;13.6;3;;;;;;;3.7;162.3;17;159
2014;200305;8;;;;3.9;20.3;4.8;;;;;;;2.6;35;14;258
2014;199310;7;;;1.1;1.5;9.4;2.5;5.7;4.5;;;;;4;372.5;22;45
2014;200209;8;;;;2.6;20.7;6.8;;;;;;;1.3;151.4;13;177
2014;200103;8;;;;1.3;9.1;1.5;;;;;;;5;322.5;27;70
2014;200006;8;;;;5.7;23.6;7.6;;;;;;;2.4;33.2;7;284
2014;200007;8;;;;5.2;22.6;8.4;;;;;;;2.3;32.1;7;279
2014;200008;8;;;;4.4;23.6;8.1;;;;;;;2.1;28.4;3;268
2014;200009;8;;;;3.4;21.7;6.1;;;;;;;1.9;47;10;232
2014;200010;8;;;;1.4;14.2;3;;;;;;;1.7;113.8;15;135
2014;200011;8;;;;0.8;6;-0.3;;;;;;;3.1;323.5;26;34
2014;200012;8;;;;0.9;4.8;0.4;;;;;;;4.1;426;27;7
2014;200201;8;;;;0.4;4.8;-2.5;;;;;;;1.7;115.2;15;34
2014;200102;8;;;;0.9;7.7;-3;;;;;;;3;186.1;12;111
2014;200112;8;;;;0.8;2.3;-6.4;;;;;;;1;10.7;5;37
2014;200104;8;;;;2.9;12.1;-0.4;;;;;;;3.6;42.5;14;217
2014;200105;8;;;;3.4;16.7;3.3;;;;;;;2.6;88;14;209
2014;200106;8;;;;5.6;23.8;6.8;;;;;;;2.3;4.4;3;273
2014;200107;8;;;;4.9;23.5;8.4;;;;;;;2.1;45.8;8;247
2014;200108;8;;;;4.9;25.5;9.7;;;;;;;2;21.5;7;267
2014;200109;8;;;;3.3;20.9;4.6;;;;;;;1.9;16.5;9;226
2014;200110;8;;;;1.5;14.6;5.4;;;;;;;2.8;152.3;18;81
2014;200308;8;;;;4.6;28.9;13;;;;;;;1.8;127;13;231
2014;200101;8;;;;0.5;4.1;-1.8;;;;;;;3.9;350.9;27;16
2014;200602;8;;;;0.9;8.3;-3.1;;;;;;;2.7;93.5;11;92
2014;200505;8;;;;4.4;19.5;5.9;;;;;;;2.8;50.1;10;212
2014;200506;8;;;;6;27.2;10.1;;;;;;;1.9;43.8;6;232
2014;200507;8;;;;6.5;27.6;11;;;;;;;2.4;6.7;3;215
2014;200508;8;;;;5.7;28.3;10.7;;;;;;;2.1;10;5;237
2014;200509;8;;;;3.4;23.5;7.9;;;;;;;1.7;29.8;6;149
2014;200510;8;;;;1.4;16.3;6.6;;;;;;;2.1;259;15;86
2014;200511;8;;;;0.5;8.9;1.6;;;;;;;1.9;82.5;19;32
2014;200306;8;;;;5.8;26.9;11;;;;;;;2.4;51;11;249
2014;200601;8;;;;0.6;5.6;-2.2;;;;;;;1.3;41.5;12;36
2014;200502;8;;;;0.6;5;-3;;;;;;;2.4;69;16;111
2014;200603;8;;;;1.4;11.7;2.2;;;;;;;4.2;199;22;83
2014;200604;8;;;;2.9;16.4;3.5;;;;;;;2.8;69.2;10;101
2014;200605;8;;;;4.7;21.4;6.5;;;;;;;2.8;44.8;9;195
2014;200606;8;;;;5.5;26.8;10.6;;;;;;;2;28;8;196
2014;200607;8;;;;5.6;29.8;13.2;;;;;;;1.9;39.2;10;167
2014;200608;8;;;;5.2;25.6;10;;;;;;;2;47.6;5;273
2014;200609;8;;;;3.7;24.5;10.4;;;;;;;1.9;117;12;111
2014;200512;8;;;;0.5;5.8;-1.8;;;;;;;2.4;122;16;31
2014;200406;8;;;;5.6;27.7;11;;;;;;;2.2;21.4;8;277
2014;200309;8;;;;2.7;22.8;7.6;;;;;;;1.4;61.4;6;200
2014;200310;8;;;;1;13.2;4.6;;;;;;;1.4;204.8;24;83
2014;200311;8;;;;0.7;9.7;2.4;;;;;;;1.7;203.7;22;41
2014;200312;8;;;;0.5;6;0.3;;;;;;;1.5;144.5;24;24
2014;200401;8;;;;0.5;7.4;0.1;;;;;;;2.3;75.9;24;30
2014;200402;8;;;;0.7;10;-1.6;;;;;;;1.7;104.3;10;113
2014;200403;8;;;;1.3;10.4;-0.7;;;;;;;2.2;80.8;17;156
2014;200504;8;;;;2.2;13.7;2.7;;;;;;;2.9;120;18;164
2014;200405;8;;;;3.3;18.4;5.9;;;;;;;2.3;63.5;16;222
2014;200503;8;;;;1.5;11.7;-1.1;;;;;;;3;111;13;188
2014;200407;8;;;;5.4;27.1;10.5;;;;;;;2.1;17.5;7;269
2014;200408;8;;;;4.2;24.4;11.4;;;;;;;2.4;123.1;12;210
2014;200409;8;;;;3;24.6;9.5;;;;;;;1.6;25.3;9;229
