indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
2031;1916;;;;;;4;12;19
2031;1928;;;;;108;1;2;4
2031;1926;;;;;170;1;3;27
2031;1925;;;;;;4;3;28
2031;1924;;;;;;4;2;27
2031;1923;;;;;;4;3;27
2031;1922;;;;;;4;3;3
2031;1921;;;;;;4;1;28
2050;1937;;;;;15.6;1;12;
2031;1917;;;;;103;2;4;5
2031;1938;;;;;195;2;1;
2031;1915;;;;;;4;3;16
2031;1914;;;;;;4;2;14
2030;1997;738.07;2;12;18;;;;
2030;1965;224;2;1;20;;;;
2030;1938;;;;;178;2;1;
2030;1935;;;;;178;2;1;
2030;1934;;;;;145;2;12;
2031;1918;;;;;357.5;1;2;23
2036;1920;;;;;134;1;5;18
2036;1929;;;;;262;1;12;26
2036;1928;;;;;205;1;2;4
2036;1927;;;;;305;1;3;25
2036;1926;;;;;;4;3;27
2036;1925;;;;;421;2;3;28
2036;1924;;;;;177;1;2;27
2036;1923;;;;;421;2;3;27
2031;1930;;;;;264;2;3;11
2036;1921;;;;;305;1;1;31
2031;1935;;;;;309;2;2;
2036;1919;;;;;193;1;3;18
2036;1918;;;;;440;2;2;23
2036;1917;;;;;;3;;
2036;1915;;;;;;3;;
2036;1914;;;;;;3;;
2036;1913;;;;;;3;;
2035;1997;9.36;2;4;7;;;;
2030;1929;;;;;;4;4;28
2036;1922;;;;;129;1;11;5
2029;1923;;;;;;4;3;25
2030;1932;;;;;153;1;12;
2029;1942;;;;;169.18;2;1;21
2029;1930;;;;;257;1;3;20
2029;1929;;;;;;4;12;6
2029;1928;;;;;;4;2;4
2029;1927;;;;;;4;12;25
2029;1926;;;;;;4;11;21
2029;1946;;;;;338;1;3;5
2029;1924;;;;;;4;4;7
2029;1948;;;;;45.9;1;12;13
2029;1922;;;;;;4;2;27
2029;1921;;;;;;4;1;30
2029;1920;;;;;94.9;1;12;29
2029;1919;;;;;190;1;11;15
2029;1918;;;;;307;1;2;20
2029;1917;;;;;114;1;1;22
2029;1916;;;;;300;1;1;27
2029;1915;;;;;290;1;3;19
2029;1925;;;;;;4;2;2
2030;1920;;;;;;4;1;13
2038;1915;;;;;47.5;1;12;6
2030;1928;;;;;27.9;2;10;27
2030;1927;;;;;;4;12;23
2030;1926;;;;;;4;3;26
2030;1925;;;;;;4;3;27
2030;1924;;;;;86.5;1;5;25
2030;1923;;;;;;4;3;26
2029;1945;;;;;151;1;5;5
2030;1921;;;;;;4;2;5
2030;1930;;;;;;4;12;31
2030;1919;;;;;145;1;3;16
2030;1918;;;;;;4;2;23
2030;1916;;;;;295;1;12;24
2030;1915;;;;;195;1;3;16
2030;1914;;;;;240;2;2;22
2029;1962;290.6;1;1;;;;;
2029;1950;;;;;215;1;3;18
2029;1949;;;;;59.6;1;5;27
2030;1922;;;;;;4;3;23
2046;1919;;;;;;4;2;29
2043;1962;409.13;1;4;;;;;
2046;1930;;;;;;4;3;20
2046;1929;;;;;50.4;2;6;13
2046;1928;;;;;;4;2;25
2046;1927;;;;;;4;12;23
2046;1926;;;;;;4;11;21
2046;1925;;;;;57.23;2;12;22
2046;1986;30.04;2;1;30;;;;
2046;1922;;;;;27;1;4;12
2046;1998;6.744;2;9;2;;;;
2046;1918;;;;;;4;2;20
2046;1917;;;;;;4;1;22
2046;1916;;;;;;4;2;15
2046;1915;;;;;;4;3;18
2046;1914;;;;;42;2;1;4
2044;1995;13.21;2;12;;9.68;2;1;8
2044;1932;;;;;8.3;1;5;
2036;1930;;;;;174;1;3;11
2046;1923;;;;;53;1;3;25
2050;1923;;;;;;4;3;26
2000;1989;;;;;12.58;2;12;22
2050;1935;;;;;33.5;1;3;
2050;1934;;;;;20.3;1;12;
2050;1930;;;;;44.2;1;3;20
2050;1929;;;;;;4;4;29
2050;1928;;;;;;4;2;3
2050;1927;;;;;;4;12;24
2046;1934;;;;;24.1;2;3;
2050;1925;;;;;;4;12;15
2043;1939;;;;;567;1;;
2050;1922;;;;;;4;11;6
2050;1921;;;;;;4;4;6
2050;1916;;;;;25.5;2;5;
2050;1915;;;;;50;1;12;25
2049;1985;11.48;2;;;;;;
2049;1949;;;;;2.33;2;11;21
2048;1995;;;;;131.52;2;2;3
2048;1990;97.09;2;3;9;89.01;2;3;8
2050;1926;;;;;;4;3;27
2038;1924;;;;;;4;11;29
2044;1930;;;;;22.2;2;3;13
