indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
2031;1914;1915;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;14
2031;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2031;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;27
2031;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2031;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;3
2031;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;28
2031;1918;1919;;;;;;;357.5;VALOR COMPLETADO;2;23
2031;1917;1918;;;;;;;103;INCOMPLETO CON VALOR ALTO;4;5
2036;1928;1929;;;;;;;205;VALOR COMPLETADO;2;4
2031;1915;1916;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;16
2031;1930;1931;;;;;;;264;INCOMPLETO CON VALOR ALTO;3;11
2030;1997;1998;;738.07;INCOMPLETO CON VALOR ALTO;12;18;562.93;;;;
2030;1965;1966;;224;INCOMPLETO CON VALOR ALTO;1;20;186.5;;;;
2030;1938;1939;;;;;;;178;INCOMPLETO CON VALOR ALTO;1;
2030;1935;1936;;;;;;;178;INCOMPLETO CON VALOR ALTO;1;
2030;1934;1935;;;;;;;145;INCOMPLETO CON VALOR ALTO;12;
2030;1932;1933;;;;;;;153;VALOR COMPLETADO;12;
2030;1930;1931;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;31
2031;1916;1917;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;19
2036;1918;1919;;;;;;;440;INCOMPLETO CON VALOR ALTO;2;23
2029;1911;1912;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
2036;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2036;1925;1926;;;;;;;421;INCOMPLETO CON VALOR ALTO;3;28
2036;1924;1925;;;;;;;177;VALOR COMPLETADO;2;27
2036;1923;1924;;;;;;;421;INCOMPLETO CON VALOR ALTO;3;27
2036;1922;1923;;;;;;;129;VALOR COMPLETADO;11;5
2036;1921;1922;;;;;;;305;VALOR COMPLETADO;1;31
2031;1926;1927;;;;;;;170;VALOR COMPLETADO;3;27
2036;1919;1920;;;;;;;193;VALOR COMPLETADO;3;18
2031;1928;1929;;;;;;;108;VALOR COMPLETADO;2;4
2036;1917;1918;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2036;1915;1916;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2036;1914;1915;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2036;1913;1914;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2035;1997;1998;;9.36;INCOMPLETO CON VALOR ALTO;4;7;8.3;;;;
2031;1938;1939;;;;;;;195;INCOMPLETO CON VALOR ALTO;1;
2031;1935;1936;;;;;;;309;INCOMPLETO CON VALOR ALTO;2;
2030;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2036;1920;1921;;;;;;;134;VALOR COMPLETADO;5;18
2029;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;30
2030;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;28
2029;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;6
2029;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;4
2029;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;25
