hoja_id;nomhoja
80;BURON                         
102;BARRIOS DE LUNA, LOS          
103;POLA DE GORDON, LA            
104;BOÑAR                         
105;RIAÑO                         
106;CAMPORREDONDO DE ALBA         
107;BARRUELO DE SANTULLAN         
128;RIELLO                        
129;ROBLA, LA                     
130;VEGAS DEL CONDADO             
131;CISTIERNA                     
132;GUARDO                        
133;PRADANOS DE OJEDA             
160;BENAVIDES                     
161;LEON                          
162;GRADEFES                      
163;ALMANZA                       
164;SALDAÑA                       
165;HERRERA DE PISUERGA           
166;VILLADIEGO                    
192;LUCILLO                       
193;ASTORGA                       
194;SANTA MARIA DEL PARAMO        
196;SAHAGUN                       
198;OSORNO                        
200;BURGOS                        
230;CASTROCONTRIGO                
231;BAÑEZA, LA                    
232;VILLAMAÑAN                    
234;VILLADA                       
235;SAN CEBRIAN DE CAMPOS         
236;ASTUDILLO                     
237;CASTROGERIZ                   
239;PRADOLUENGO                   
267;PUEBLA DE SANABRIA            
268;MOLEZUELAS DE LA CARBALLEDA   
269;ARRABALDE                     
270;BENAVENTE                     
271;VALDERAS                      
273;PALENCIA                      
274;TORQUEMADA                    
275;SANTA MARIA DEL CAMPO         
276;LERMA                         
277;SALAS DE LOS INFANTES         
303;VERIN                         
307;MICERECES DE TERA             
308;VILLAFAFILA                   
310;MEDINA DE RIOSECO             
311;DUEÑAS                        
316;QUINTANAR DE LA SIERRA        
317;VINUESA                       
339;MORERUELA DE TABARA           
341;SAN PEDRO DE LATARCE          
343;CIGALES                       
344;ESGUEVILLAS DE ESGUEVA        
346;ARANDA DE DUERO               
348;SAN LEONARDO DE YAGÜE         
350;SORIA                         
368;CARBAJALES DE ALBA            
369;CORESES                       
370;TORO                          
371;TORDESILLAS                   
372;VALLADOLID                    
373;QUINTANILLA DE ONESIMO        
374;PEÑAFIEL                      
375;FUENTELCESPED                 
376;SAN ESTEBAN DE GORMAZ         
377;BURGO DE OSMA, EL             
397;ZAMORA                        
398;CASTRONUÑO                    
400;PORTILLO                      
402;OLOMBRADA                     
404;AYLLON                        
405;BERLANGA DE DUERO             
407;MORON DE ALMAZAN              
426;FUENTESAUCO                   
428;OLMEDO                        
430;CANTALEJO                     
431;SEPULVEDA                     
432;RIAZA                         
449;VILVESTRE                     
451;LEDESMA                       
453;CANTALPINO                    
455;AREVALO                       
456;NAVA DE LA ASUNCION           
457;TUREGANO                      
475;LUMBRALES                     
478;SALAMANCA                     
479;PEÑARANDA DE BRACAMONTE       
483;SEGOVIA                       
500;VILLAR DEL CIERVO             
503;VEGUILLAS, LAS                
506;CARDEÑOSA                     
507;ESPINAR, EL                   
508;CERCEDILLA                    
525;CIUDAD RODRIGO                
526;SERRADILLA DEL ARROYO         
528;GUIJUELO                      
531;AVILA DE LOS CABALLEROS       
550;FUENTEGUINALDO                
553;BEJAR                         
555;NAVATALGORDO                  
