ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
2401;196910;0.6;2.831;7.582;3.9;0.7;16;1.99;0.51;20;1
2401;196911;0.53;2.423;6.28;3.67;0.68;8;0.13;0.07;19;1
2401;196912;0.62;3.032;8.12;3.67;0.68;9;1.45;0.43;4;1
2401;197001;0.64;3.396;9.096;7.95;0.95;11;0.14;0.08;30;1
2401;197002;0.61;2.95;7.136;3.9;0.7;20;1.99;0.51;1;1
2401;197003;0.06;0.25;0.67;3.79;0.69;1;0;0;8;1
2401;197004;0.28;0.925;2.397;2.5;0.57;6;0.02;0.01;1;1
2401;197005;0.37;1.731;4.635;5.16;0.79;14;0.05;0.03;4;1
2401;197006;0.36;1.177;3.052;2.75;0.6;16;0.02;0.01;5;1
2401;197007;0.37;1.458;3.904;5.02;0.78;19;0.02;0.01;11;1
2401;197008;0.39;1.283;3.437;2.07;0.52;24;0.72;0.28;18;1
2401;197009;0.4;1.303;3.378;2.67;0.59;11;0.72;0.28;17;1
2401;197010;0.5;2.134;5.715;3.21;0.64;10;0.13;0.07;30;1
2401;197011;0.35;1.354;3.509;4.18;0.72;30;0.02;0.01;1;1
2401;197012;0.57;2.604;6.973;4.18;0.72;3;1.12;0.37;30;1
2401;197101;0.51;2.168;5.807;3.9;0.7;15;0.72;0.28;3;1
2401;197102;0.59;2.737;6.622;3.21;0.64;19;1.99;0.51;16;1
2401;197103;0.19;0.69;1.849;2.87;0.61;12;0;0;19;1
2401;197104;0.36;1.766;4.578;4.04;0.71;14;0;0;1;1
2401;197105;0.58;2.667;7.144;3.33;0.65;15;1.38;0.42;11;1
2401;197106;0.59;2.708;7.019;4.74;0.76;9;1.58;0.45;26;1
2401;197107;0.48;1.913;5.124;3.1;0.63;3;0.48;0.22;14;1
2401;197108;0.37;1.226;3.283;2.41;0.56;9;0.27;0.14;6;1
2401;197109;0.34;1.107;2.87;2.67;0.59;6;0.04;0.02;20;1
2401;197110;0.55;2.678;7.172;4.32;0.73;26;0.09;0.05;7;1
2401;197111;0.7;3.951;10.24;4.46;0.74;9;3.44;0.66;30;1
2401;197112;0.6;2.937;7.867;4.18;0.72;20;0.98;0.34;31;1
2401;197201;0.48;1.89;5.061;3.44;0.66;5;0.38;0.19;1;1
2401;197202;0.47;1.777;4.453;2.75;0.6;28;0.52;0.23;9;1
2401;197203;0.08;0.252;0.675;2.49;0.57;1;0;0;9;1
2401;197204;0.36;1.206;3.127;2.24;0.54;6;0;0;2;1
2401;197205;0.46;1.663;4.453;2.98;0.62;6;0.8;0.3;12;1
2401;197206;0.38;1.213;3.145;1.9;0.5;14;0.29;0.15;6;1
2401;197207;0.19;0.459;1.229;1.07;0.36;26;0;0;22;1
2401;197208;0.28;0.829;2.221;2.49;0.57;12;0.02;0.01;9;1
2401;197209;0.26;0.711;1.842;1.44;0.43;10;0.04;0.02;30;1
2401;197210;0.5;2.022;5.415;3.56;0.67;4;0.84;0.31;27;1
2401;197211;0.53;2.264;5.868;3.67;0.68;20;0.52;0.23;23;1
2401;197212;0.57;2.503;6.704;3.9;0.7;14;1.57;0.45;11;1
2401;197301;0.5;2.015;5.396;3.32;0.65;4;0.52;0.23;11;1
2401;197302;0.48;1.794;4.339;2.41;0.56;5;1.16;0.38;16;1
2401;197303;0.29;1.084;2.902;3.67;0.68;10;0.04;0.02;15;1
2401;197304;0.21;0.665;1.725;2.41;0.56;2;0;0;21;1
2401;197305;0.33;0.971;2.6;1.98;0.51;18;0.25;0.13;1;1
2401;197306;0.27;0.784;2.033;2.07;0.52;11;0.02;0.01;21;1
2401;197307;0.14;0.311;0.832;0.98;0.34;19;0.02;0.01;6;1
2401;197308;0.18;0.406;1.087;0.8;0.3;16;0.02;0.01;9;1
2401;197309;0.27;0.786;2.036;2.07;0.52;19;0;0;5;1
2401;197310;0.45;1.578;4.227;2.41;0.56;17;0.8;0.3;27;1
2401;197311;0.52;2.139;5.543;3.32;0.65;6;0.84;0.31;29;1
2401;197312;0.35;1.116;2.989;2.41;0.56;22;0.13;0.07;14;1
2401;197401;0.52;2.113;5.659;2.75;0.6;29;1.2;0.39;9;1
2401;197402;0.51;2.024;4.895;2.58;0.58;2;1.51;0.44;1;1
2401;197403;0.32;1.177;3.154;3.21;0.64;15;0;0;30;1
2401;197404;0.47;1.846;4.784;2.98;0.62;21;0.2;0.11;2;1
2401;197405;0.26;0.714;1.912;1.57;0.45;6;0.02;0.01;23;1
2401;197406;0.27;0.738;1.912;1.51;0.44;24;0.07;0.04;9;1
2401;197407;0.32;1.031;2.762;2.41;0.56;13;0.05;0.03;27;1
2401;197408;0.27;0.717;1.922;1.32;0.41;2;0.05;0.03;9;1
2401;197409;0.35;1.113;2.884;3.21;0.64;30;0.13;0.07;14;1
2401;197410;0.43;2.513;6.73;4.17;0.61;3;0.72;0.18;30;1
2401;197411;0.57;3.751;9.722;4.74;0.66;17;1.1;0.25;1;1
2401;197412;0.58;3.835;10.272;4.74;0.66;1;3.02;0.5;23;1
2401;197501;0.55;3.53;9.456;4.28;0.62;20;2.22;0.41;12;1
2401;197502;0.53;3.526;8.531;5.09;0.69;14;0.14;0.04;9;1
2401;197503;0.44;2.725;7.299;5.09;0.69;15;0.29;0.08;31;1
2401;197504;0.47;2.875;7.452;4.74;0.66;13;0.07;0.02;1;1
2401;197505;0.25;1.379;3.694;4.28;0.62;24;0.04;0.01;8;1
2401;197506;0.25;1.3;3.37;3.52;0.55;4;0;0;22;1
2401;197507;0.19;0.815;2.183;1.68;0.34;22;0.14;0.04;18;1
2401;197508;0.19;0.868;2.324;2.93;0.49;16;0.04;0.01;30;1
2401;197509;0.13;0.505;1.309;1.55;0.32;30;0.04;0.01;1;1
2401;197510;0.27;1.476;3.953;4.51;0.64;21;0.14;0.04;12;1
2401;197511;0.53;3.403;8.82;5.55;0.73;13;1.22;0.27;1;1
