ref_ceh;anomes;resmes;salmes;entmes;tipo_dato_id;orig_dato_id
2001;194610;17.968;19.548;3.516;2;3
2001;194611;3.945;18.483;4.46;2;3
2001;194612;0;12.024;8.079;2;3
2001;194701;2.737;8.884;11.621;2;3
2001;194702;72.456;4.73;74.449;2;3
2001;194703;97.71;50.52;75.774;2;3
2001;194704;90.185;52.483;44.958;2;3
2001;194705;92.449;17.709;19.973;2;3
2001;194706;92.449;4.88;4.88;2;3
2001;194707;75.378;18.607;1.536;2;3
2001;194708;49.889;28.725;3.236;2;3
2001;194709;27.98;26.185;4.276;2;3
2001;194710;15.121;24.65;11.791;2;3
2001;194711;1.717;27.85;14.446;2;3
2001;194712;0;14.4;12.683;2;3
2001;194801;51.084;66.765;117.849;2;3
2001;194802;54.861;21.783;25.56;2;3
2001;194803;58.834;12.109;16.082;2;3
2001;194804;66.786;3.543;11.495;2;3
2001;194805;78.281;3.588;15.083;2;3
2001;194806;78.517;4.055;4.291;2;3
2001;194807;65.19;14.392;1.065;2;3
2001;194808;42.686;26.961;4.477;2;3
2001;194809;25.048;18.949;1.311;2;3
2001;194810;5.669;21.558;2.179;2;3
2001;194811;0;7.258;1.589;2;3
2001;194812;0;2.946;2.946;2;3
2001;194901;1.529;3.562;5.091;2;3
2001;194902;2.683;1.112;2.266;2;3
2001;194903;5.243;1.105;3.665;2;3
2001;194904;10.936;0.6;6.293;2;3
2001;194905;15.425;0.775;5.264;2;3
2001;194906;18.535;0.75;3.86;2;3
2001;194907;14.514;5.299;1.278;2;3
2001;194908;5.225;9.957;0.668;2;3
2001;194909;2.403;5.027;2.205;2;3
2001;194910;1.784;3.507;2.888;2;3
2001;194911;8.418;3.48;10.114;2;3
2001;194912;13.966;3.2;8.748;2;3
2001;195001;14.755;2.91;3.699;2;3
2001;195002;27.73;1.68;14.655;2;3
2001;195003;41.745;1.235;15.25;2;3
2001;195004;51.22;1.405;10.88;2;3
2001;195005;60.7;1.55;11.03;2;3
2001;195006;63.38;3.206;5.886;2;3
2001;195007;42.13;22.467;1.217;2;3
2001;195008;25.906;17.077;0.853;2;3
2001;195009;16.564;10.247;0.905;2;3
2001;195010;7.887;9.847;1.17;2;3
2001;195011;3.533;8.478;4.124;2;3
2001;195012;5.387;4.8;6.654;2;3
2001;195101;17.822;1.665;14.1;2;3
2001;195102;77.497;1.608;61.283;2;3
2001;195103;132.569;18.678;73.75;2;3
2001;195104;130.356;37.56;35.347;2;3
2001;195105;134.698;18.48;22.822;2;3
2001;195106;136.93;12.6;14.832;2;3
2001;195107;128.266;13.141;4.477;2;3
2001;195108;104.484;34.14;10.358;2;3
2001;195109;77.812;42;15.328;2;3
2001;195110;57.913;33.4;13.501;2;3
2001;195111;45.968;28;16.055;2;3
2001;195112;44.816;13.4;12.248;2;3
2001;195201;49.982;6.2;11.366;2;3
2001;195202;55.642;5.8;11.46;2;3
2001;195203;70.607;6.2;21.165;2;3
2001;195204;91.687;6;27.08;2;3
2001;195205;102.602;6.2;17.115;2;3
2001;195206;97.599;9.189;4.186;2;3
2001;195207;89.693;16.337;8.431;2;3
2001;195208;82.292;16.337;8.936;2;3
2001;195209;73.155;17.8;8.663;2;3
2001;195210;62.872;22.506;12.223;2;3
2001;195211;60.992;22.534;20.654;2;3
2001;195212;64.972;23.405;27.385;2;3
2001;195301;57.416;23.405;15.849;2;3
2001;195302;55.429;21.14;19.153;2;3
2001;195303;50.254;19;13.825;2;3
2001;195304;62.221;11.88;23.847;2;3
2001;195305;60.844;11.78;10.403;2;3
2001;195306;55.003;11.4;5.559;2;3
2001;195307;42.13;17.84;4.967;2;3
2001;195308;23.181;21.72;2.771;2;3
2001;195309;11.663;13.09;1.572;2;3
2001;195310;8.654;6.2;3.191;2;3
2001;195311;6.91;4.46;2.716;2;3
2001;195312;8.02;3.1;4.21;2;3
2001;195401;9.01;3.1;4.09;2;3
2001;195402;27.224;2.8;21.014;2;3
2001;195403;55.429;3.1;31.305;2;3
2001;195404;66.786;3.45;14.807;2;3
2001;195405;87.223;5.425;25.862;2;3
2001;195406;92.353;5.35;10.48;2;3
2001;195407;72.78;26.143;6.57;2;3
2001;195408;50.05;32.478;9.748;2;3
2001;195409;23.024;31.495;4.469;2;3
2001;195410;1.967;23.185;2.128;2;3
2001;195411;4.745;4.684;7.462;2;3
2001;195412;1.631;13.248;10.134;2;3
2001;195501;55.784;14.28;68.433;2;3
2001;195502;86.403;9.532;40.151;2;3
2001;195503;90.021;19.22;22.838;2;3
2001;195504;88.376;15.39;13.745;2;3
2001;195505;83.937;11.47;7.031;2;3
2001;195506;83.773;11.99;11.826;2;3
2001;195507;68.135;23.254;7.616;2;3
2001;195508;43.129;32.84;7.834;2;3
