muni_id;prov_id;munombre
24001;24;ACEBEDO
24004;24;ALMANZA
24010;24;BAÑEZA, LA
24012;24;BARRIOS DE LUNA, LOS
24020;24;BOCA DE HUÉRGANO
24021;24;BOÑAR
24025;24;BURÓN
24028;24;CABREROS DEL RÍO
24033;24;CAMPO DE VILLAVIDEL
24037;24;CÁRMENES
24044;24;CASTRILLO DE LA VALDUERNA
24047;24;CASTROCONTRIGO
24053;24;CEBRONES DEL RÍO
24060;24;CRÉMENES
24061;24;CUADROS
24089;24;LEÓN
24090;24;LUCILLO
24094;24;MANSILLA DE LAS MULAS
24098;24;MATALLANA DE TORÍO
24104;24;OMAÑAS, LAS
24121;24;PUEBLA DE LILLO
24123;24;QUINTANA DEL CASTILLO
24124;24;QUINTANA DEL MARCO
24130;24;RIAÑO
24131;24;RIEGO DE LA VEGA
24132;24;RIELLO
24134;24;ROBLA, LA
24137;24;SABERO
24139;24;SAHAGÚN
24151;24;SANTA COLOMBA DE CURUEÑO
24159;24;SANTA MARINA DEL REY
24164;24;SENA DE LUNA
24177;24;VALDELUGUEROS
24181;24;VALDERAS
24184;24;VALDESAMARIO
24188;24;VALENCIA DE DON JUAN
24201;24;VEGAS DEL CONDADO
24212;24;VILLAMAÑÁN
24221;24;VILLAQUEJIDA
24227;24;VILLATURIEL
24901;24;VILLAMANÍN
32021;32;CASTRELO DO VAL
32053;32;OÍMBRA
34003;34;ABIA DE LAS TORRES
34004;34;AGUILAR DE CAMPOO
34005;34;ALAR DEL REY
34056;34;CERVERA DE PISUERGA
34063;34;CORDOVILLA LA REAL
34069;34;DUEÑAS
34079;34;GRIJOTA
34080;34;GUARDO
34083;34;HERRERA DE PISUERGA
34084;34;HERRERA DE VALDECAÑAS
34114;34;OLMOS DE OJEDA
34123;34;PAREDES DE NAVA
34129;34;PINO DEL RÍO
34135;34;POMAR DE VALDIVIA
34158;34;SALINAS DE PISUERGA
34185;34;TRIOLLO
34199;34;VELILLA DEL RÍO CARRIÓN
34215;34;VILLALCÁZAR DE SIRGA
34243;34;VILLOLDO
34904;34;PERNÍA, LA
37008;37;ALBA DE TORMES
37012;37;ALCONADA
37014;37;ALDEADÁVILA DE LA RIBERA
37028;37;ALMENDRA
37081;37;CANTALAPIEDRA
37096;37;CASTILLEJO DE MARTÍN VIEJO
37101;37;CERRALBO
